hut_id:ID(Hut),osm_id:long,latitude:float,longitude:float,name,country_code,tourism,amenity,shelter_type,operator,tags_json
12786831128,12786831128,70.1315245,24.299805,Bastingammen,NO,wilderness_hut,,,,"{""name"": ""Bastingammen"", ""tourism"": ""wilderness_hut"", ""wikidata"": ""Q134112686""}"
12798384665,12798384665,68.0389216,17.8377463,Gautelishytta,NO,wilderness_hut,,,Narvik og Omegn Turistforening,"{""capacity"": ""10"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""322"", ""dnt:lock"": ""yes"", ""ele"": ""865"", ""name"": ""Gautelishytta"", ""network"": ""Den Norske Turistforening"", ""operator"": ""Narvik og Omegn Turistforening"", ""ref:bygningsnr"": ""11010849"", ""ref:kartverket:hytte"": ""1264"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/gautelishytta""}"
12801124335,12801124335,68.1977355,18.0842547,Cunojávrihytta,NO,wilderness_hut,,,Narvik og Omegn Turistforening,"{""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""321"", ""dnt:lock"": ""yes"", ""ele"": ""709"", ""name"": ""Cunojávrihytta"", ""network"": ""Den Norske Turistforening"", ""operator"": ""Narvik og Omegn Turistforening"", ""ref:bygningsnr"": ""187300118"", ""ref:kartverket:hytte"": ""1263"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/cunoj%C3%A1vrihytta""}"
12801170418,12801170418,68.8193939,20.1090272,Dærtahytta,NO,wilderness_hut,,,Troms Turlag,"{""building"": ""cabin"", ""capacity"": ""18"", ""designation"": ""DNT (locked)"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""264"", ""dnt:lock"": ""yes"", ""ele"": ""745"", ""fixme"": ""position"", ""idrettsanleggregisteret:iid"": ""1924008101"", ""name"": ""Dærtahytta"", ""network"": ""Den Norske Turistforening"", ""operator"": ""Troms Turlag"", ""owner"": ""Den Norske Turistforening"", ""ref:bygningsnr"": ""191431480"", ""ref:kartverket:hytte"": ""1363"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/daertahytta""}"
12801170419,12801170419,68.6751673,19.8233358,Dividalshytta,NO,wilderness_hut,,,DNT Oslo og Omegn,"{""building"": ""cabin"", ""capacity"": ""20"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""26"", ""dnt:lock"": ""yes"", ""ele"": ""580"", ""idrettsanleggregisteret:iid"": ""1924008301"", ""name"": ""Dividalshytta"", ""network"": ""Den Norske Turistforening"", ""operator"": ""DNT Oslo og Omegn"", ""owner"": ""Den Norske Turistforening"", ""ref:bygningsnr"": ""191431413"", ""ref:kartverket:hytte"": ""1058"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/dividalshytta""}"
12801170420,12801170420,68.6723093,19.486332,Vuomahytta,NO,wilderness_hut,,,DNT Oslo og Omegn,"{""building"": ""cabin"", ""capacity"": ""20"", ""designation"": ""DNT (locked)"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""126"", ""dnt:lock"": ""yes"", ""ele"": ""730"", ""idrettsanleggregisteret:iid"": ""1924002501"", ""name"": ""Vuomahytta"", ""network"": ""Den Norske Turistforening"", ""operator"": ""DNT Oslo og Omegn"", ""owner"": ""Bardufoss og Omegn IF"", ""ref:bygningsnr"": ""300564792"", ""ref:kartverket:hytte"": ""1146"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/vuomahytta""}"
12801187428,12801187428,67.9605544,16.8332562,Røysvatnhytta,NO,wilderness_hut,,,Narvik og Omegn Turistforening,"{""building"": ""cabin"", ""capacity"": ""12"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""326"", ""dnt:lock"": ""yes"", ""ele"": ""810"", ""name"": ""Røysvatnhytta"", ""network"": ""Den Norske Turistforening"", ""operator"": ""Narvik og Omegn Turistforening"", ""ref:kartverket:hytte"": ""1268"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/roeysvatn""}"
12801189403,12801189403,68.6588825,19.1203529,Gaskashytta,NO,wilderness_hut,,,DNT Oslo og Omegn,"{""building"": ""cabin"", ""capacity"": ""20"", ""designation"": ""DNT (locked)"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""34"", ""dnt:lock"": ""yes"", ""ele"": ""545"", ""fireplace"": ""yes"", ""idrettsanleggregisteret:iid"": ""1922002701"", ""name"": ""Gaskashytta"", ""network"": ""Den Norske Turistforening"", ""operator"": ""DNT Oslo og Omegn"", ""owner"": ""Troms Turlag"", ""ref:bygningsnr"": ""191271017"", ""ref:kartverket:hytte"": ""1067"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/gaskashytta""}"
12801189404,12801189404,68.6633431,18.8907547,Altevasshytta,NO,wilderness_hut,,,Troms Turlag,"{""building"": ""cabin"", ""capacity"": ""17"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""1111"", ""dnt:lock"": ""yes"", ""ele"": ""540"", ""idrettsanleggregisteret:iid"": ""1922004301"", ""name"": ""Altevasshytta"", ""network"": ""Den Norske Turistforening"", ""operator"": ""Troms Turlag"", ""ref:bygningsnr"": ""19820343"", ""ref:kartverket:hytte"": ""1361"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/altevasshytta""}"
12801189405,12801189405,68.5138739,18.6316452,Lappjordhytta,NO,wilderness_hut,,,DNT Oslo og Omegn,"{""building"": ""cabin"", ""capacity"": ""14"", ""designation"": ""DNT (locked)"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""76"", ""dnt:lock"": ""yes"", ""ele"": ""544"", ""idrettsanleggregisteret:iid"": ""1919002001"", ""name"": ""Lappjordhytta"", ""network"": ""Den Norske Turistforening"", ""operator"": ""DNT Oslo og Omegn"", ""owner"": ""Den Norske Turistforening"", ""ref:bygningsnr"": ""191306473"", ""ref:kartverket:hytte"": ""1090"", ""service"": ""no"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/lappjordhytta""}"
12801260925,12801260925,67.2067955,16.2560849,Sorjushytta,NO,wilderness_hut,,,Sulitjelma og Omegn Turistforening,"{""access"": ""private"", ""building"": ""yes"", ""capacity"": ""16"", ""description"": ""DNT key needed to open."", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""286"", ""dnt:lock"": ""yes"", ""ele"": ""830"", ""locked"": ""yes"", ""name"": ""Sorjushytta"", ""network"": ""Den Norske Turistforening"", ""operator"": ""Sulitjelma og Omegn Turistforening"", ""ref:kartverket:hytte"": ""1358"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/sorjushytta""}"
12802270079,12802270079,69.7919568,24.17615,Bojobæskihytta,NO,wilderness_hut,,,Alta og Omegn Turlag,"{""affiliation"": ""Den Norske Turistforening"", ""capacity"": ""8"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""239"", ""dnt:lock"": ""yes"", ""ele"": ""390"", ""idrettsanleggregisteret:iid"": ""2012003501"", ""name"": ""Bojobæskihytta"", ""operator"": ""Alta og Omegn Turlag"", ""owner"": ""Alta og Omegn Turlag"", ""ref:bygningsnr"": ""192609100"", ""service"": ""no"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/bojobaeskihytta-%28bojobeaskihytta%29""}"
12804564864,12804564864,68.565889,15.972117,Toralfsbu,NO,wilderness_hut,,,Harstad Turlag,"{""capacity"": ""12"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""401"", ""dnt:lock"": ""yes"", ""ele"": ""407"", ""name"": ""Toralfsbu"", ""network"": ""Den Norske Turistforening"", ""operator"": ""Harstad Turlag"", ""ref:bygningsnr"": ""189260016"", ""ref:kartverket:hytte"": ""1185"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/toralfsbu""}"
12804587321,12804587321,66.6941929,13.829859,Tåkeheimen,NO,wilderness_hut,,,Bodø og Omegns Turistforening,"{""capacity"": ""11"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""376"", ""dnt:lock"": ""yes"", ""ele"": ""1073"", ""name"": ""Tåkeheimen"", ""network"": ""Den Norske Turistforening"", ""operator"": ""Bodø og Omegns Turistforening"", ""ref:bygningsnr"": ""18302616"", ""ref:kartverket:hytte"": ""1050"", ""service"": ""no"", ""ssr:stedsnr"": ""506778"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/taakeheimen""}"
12804604888,12804604888,66.7870454,14.4726882,Gråtådalstua,NO,wilderness_hut,,,Bodø og Omegns Turistforening,"{""capacity"": ""9"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""363"", ""dnt:lock"": ""no"", ""ele"": ""605"", ""name"": ""Gråtådalstua"", ""network"": ""Den Norske Turistforening"", ""operator"": ""Bodø og Omegns Turistforening"", ""ref:bygningsnr"": ""300731895"", ""ref:kartverket:hytte"": ""1041"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/graataadalstua""}"
12905366256,12905366256,68.0827982,13.1257067,Fredvanghytta,NO,wilderness_hut,,,,"{""name"": ""Fredvanghytta"", ""tourism"": ""wilderness_hut""}"
13104276488,13104276488,69.590726,23.9198712,Virdnejávri-Hytta,NO,wilderness_hut,,,,"{""access"": ""yes"", ""fireplace"": ""stove"", ""name"": ""Virdnejávri-Hytta"", ""tourism"": ""wilderness_hut""}"
