hut_id:ID(Hut),osm_id:long,latitude:float,longitude:float,name,country_code,tourism,amenity,shelter_type,operator
1356402106,1356402106,67.5853103,17.0329786,Kutjaure Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen
1356402131,1356402131,68.3345508,18.5012853,Kårsavagge Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen
1356402628,1356402628,67.031666,16.5296498,Pieskehaure Fjällstuga,SE,alpine_hut,,,
1356402669,1356402669,68.9742092,20.3684751,Pältsa Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen
1356402744,1356402744,69.896263,19.1280706,Ringvassbu,NO,wilderness_hut,,,Troms Turlag
1356402863,1356402863,67.3940048,18.5204549,Saltoluokta Fjällstation,SE,alpine_hut,,,Svenska Turistföreningen
1356402956,1356402956,69.3446753,17.4375685,Senjabu,NO,wilderness_hut,,,Troms Turlag
1356403016,1356403016,67.8577848,17.6249135,Sitasjaure Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen
1356403490,1356403490,66.8141472,15.4006573,Storjordstua,NO,wilderness_hut,,,
1356403616,1356403616,67.9461644,18.2820478,Sälka Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen
1356403665,1356403665,66.9902465,17.2915576,Tarrekaise Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen
1356403681,1356403681,68.0515505,18.2416099,Tjäktja Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen
1356403797,1356403797,67.6882349,17.2508621,Vaisaluokta Fjällstuga,SE,alpine_hut,,,
1356457509,1356457509,67.37372,16.80063,Árasluokta Fjällstuga,SE,alpine_hut,,,Badjelánnda Laponia Turism ek. för.
1356457850,1356457850,69.8064524,23.4895015,Gargia fjellstue,NO,alpine_hut,,,
1356458023,1356458023,71.0614058,26.2212206,Helnes fyr,NO,alpine_hut,,,
1356458165,1356458165,67.0946269,16.0061069,Jakobsbakken fjellsenter,NO,alpine_hut,,,
1356458236,1356458236,67.5595898,17.1992054,Kisuris Fjällstuga,SE,alpine_hut,,,Badjelánnda Laponia Turism ek. för.
1356458317,1356458317,66.9537277,17.7196067,Kvikkjokk Fjällstation,SE,alpine_hut,,,Svenska Turistföreningen
1356458353,1356458353,69.2094727,23.7550853,Láhpoluoppal Fjellstue,NO,alpine_hut,,,
1356458478,1356458478,67.4635469,16.9019034,Låddejåhkå Fjällstuga,SE,alpine_hut,,,Badjelánnda Laponia Turism ek. för.
1356458489,1356458489,68.3985852,18.4608589,Låktatjåkkastugan,SE,alpine_hut,cafe,,
1356458520,1356458520,69.072552,22.8470839,Madam Bongos Fjellstue,NO,alpine_hut,,,
1356458616,1356458616,69.565598,24.3890633,Mollisjok Fjellstue,NO,wilderness_hut,,,
1356458724,1356458724,69.5268513,24.9574398,Ravnastua fjellstue,NO,alpine_hut,,,
1356458860,1356458860,69.559623,21.3019953,Sappen leirskole og feriesenter,NO,alpine_hut,school,,
1356458986,1356458986,67.2402687,16.5917288,Stáddajåhkå Fjällstuga,SE,alpine_hut,,,Badjelánnda Laponia Turism ek. för.
1356459001,1356459001,67.3180938,16.6975135,Stáloluokta Fjällstuga,SE,alpine_hut,,,Badjelánnda Laponia Turism ek. för.
1356459096,1356459096,69.5878764,23.5281444,Suolovuopmi Fjellstue,NO,alpine_hut,,,
1356699557,1356699557,68.553906,17.0783563,Niingshytta,NO,wilderness_hut,,,Evenes Turlag
1356699667,1356699667,68.5420697,14.9067734,Ørnheia dagsturhytte,NO,wilderness_hut,,,
1417502730,1417502730,70.6289974,29.7620279,Perletur hytta i Eikebergvika,NO,wilderness_hut,,,
1423334278,1423334278,70.9863893,25.9826807,Perletur-Hytta,NO,alpine_hut,shelter,,DNT
1669071479,1669071479,67.0424464,17.9431493,Pårte Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen
1888765999,1888765999,69.8431864,22.880263,Ongajoksetra,NO,alpine_hut,,,
1896395800,1896395800,67.1928731,17.1220854,Darreluoppal Fjällstuga,SE,alpine_hut,,,Badjelánnda Laponia Turism ek. för.
1935081999,1935081999,69.2953085,22.0107021,Immogammen,NO,wilderness_hut,,,Statskog
2695027692,2695027692,69.6541827,19.8870567,Trollhytta,NO,wilderness_hut,,,
2832244000,2832244000,68.7553472,23.5383266,Šihččajávri fjellstue,NO,alpine_hut,,,
2837945504,2837945504,69.3764115,24.2559734,Šuoššjávri fjellstue,NO,wilderness_hut,,,
3319758520,3319758520,69.4004343,24.6534184,Jergul Astu,NO,alpine_hut,,,
3352385982,3352385982,69.7975298,24.1831783,Bojobeaskihytta,NO,wilderness_hut,,,DNT Alta og omegn turlag
3390758693,3390758693,69.5278359,24.3854757,Nedre Mollisjok Fjellstue,NO,alpine_hut,,,
3412441803,3412441803,69.9089037,26.4295722,Levajok Fjellstue,NO,alpine_hut,,,
3502906122,3502906122,70.2132673,23.4527204,Skihytta,NO,wilderness_hut,,,Nyvoll Idrettslag
3736677307,3736677307,68.8759864,22.4223335,Goahteluoppal Fjellstue & Villmarkscamp,NO,wilderness_hut,,,
4093500789,4093500789,68.426456,18.1249828,Hotell Riksgränsen,SE,hotel,,,
4786913022,4786913022,67.2322837,18.4407818,Sitojaure Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen
4786913023,4786913023,67.7465725,18.2953814,Kaitumjaure Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen
4809069414,4809069414,69.4851782,20.2340391,Sieddihytta,NO,wilderness_hut,,,
5052100722,5052100722,68.0758423,13.0967111,Hakuna Matata Hut,NO,wilderness_hut,,,
5758708182,5758708182,69.3943974,29.5377226,Saimakoia,NO,wilderness_hut,shelter,,Finnmarkseiendommen Finnmárkkuopmodat
5981708157,5981708157,68.493204,18.6143656,Pålnostugan,SE,alpine_hut,,,
6137075984,6137075984,69.7369921,19.490023,Trollvassbu,NO,wilderness_hut,,,Troms Turlag
6282702618,6282702618,66.8608989,14.1555149,Fellvasstua,NO,wilderness_hut,,,Bodø og Omegns Turistforening
6710835200,6710835200,66.8574364,14.6904496,Beiarstua,NO,wilderness_hut,,,Bodø og Omegns Turistforening
7091233457,7091233457,71.1076481,25.7865982,Community Hut,NO,wilderness_hut,shelter,,
7091256838,7091256838,71.1036843,25.7189804,Nordkap Shelter,NO,wilderness_hut,shelter,,
7419286242,7419286242,66.6890889,15.4258254,KNA-hytta på Saltfjellet,NO,alpine_hut,,,
7479421083,7479421083,69.7762948,22.6329685,Stuevannet,NO,wilderness_hut,,,
7621468648,7621468648,69.7048193,19.3154093,Nonsbu,NO,wilderness_hut,,,Troms Turlag
8109048017,8109048017,67.9264597,20.3465607,Skyvillage,SE,alpine_hut,,,
9810716499,9810716499,69.0735076,20.50243,Goldahytta,NO,wilderness_hut,,,Troms Turlag
10041194791,10041194791,67.3376548,14.6898841,Tussvatnet,NO,wilderness_hut,,,Bodø og omegn turistforening
10779178932,10779178932,68.6063661,14.8517771,Årnessan,NO,wilderness_hut,,,
11051031618,11051031618,67.2069412,16.2558518,Sorjus - old hut,NO,wilderness_hut,,,Sulitjelma  Tourist Organisation
11177648171,11177648171,67.9275276,13.0035016,Munkebu,NO,wilderness_hut,,,Lofoten Turlag
12786831128,12786831128,70.1315245,24.299805,Bastingammen,NO,wilderness_hut,,,
12798384665,12798384665,68.0389216,17.8377463,Gautelishytta,NO,wilderness_hut,,,Narvik og Omegn Turistforening
12801124335,12801124335,68.1977355,18.0842547,Cunojávrihytta,NO,wilderness_hut,,,Narvik og Omegn Turistforening
12801170418,12801170418,68.8193939,20.1090272,Dærtahytta,NO,wilderness_hut,,,Troms Turlag
12801170419,12801170419,68.6751673,19.8233358,Dividalshytta,NO,wilderness_hut,,,DNT Oslo og Omegn
12801170420,12801170420,68.6723093,19.486332,Vuomahytta,NO,wilderness_hut,,,DNT Oslo og Omegn
12801187428,12801187428,67.9605544,16.8332562,Røysvatnhytta,NO,wilderness_hut,,,Narvik og Omegn Turistforening
12801189403,12801189403,68.6588825,19.1203529,Gaskashytta,NO,wilderness_hut,,,DNT Oslo og Omegn
12801189404,12801189404,68.6633431,18.8907547,Altevasshytta,NO,wilderness_hut,,,Troms Turlag
12801189405,12801189405,68.5138739,18.6316452,Lappjordhytta,NO,wilderness_hut,,,DNT Oslo og Omegn
12801260925,12801260925,67.2067955,16.2560849,Sorjushytta,NO,wilderness_hut,,,Sulitjelma og Omegn Turistforening
12802270079,12802270079,69.7919568,24.17615,Bojobæskihytta,NO,wilderness_hut,,,Alta og Omegn Turlag
12804564864,12804564864,68.565889,15.972117,Toralfsbu,NO,wilderness_hut,,,Harstad Turlag
12804587321,12804587321,66.6941929,13.829859,Tåkeheimen,NO,wilderness_hut,,,Bodø og Omegns Turistforening
12804604888,12804604888,66.7870454,14.4726882,Gråtådalstua,NO,wilderness_hut,,,Bodø og Omegns Turistforening
12905366256,12905366256,68.0827982,13.1257067,Fredvanghytta,NO,wilderness_hut,,,
13104276488,13104276488,69.590726,23.9198712,Virdnejávri-Hytta,NO,wilderness_hut,,,
